indeks klienta; data; Wejœcie; Wyjœcie; P/S; SEJF
770; 2017-05-23; 13:16:00; 16:12:00; P; N
771; 2017-06-06; 13:38:00; 16:22:00; P; T
771; 2017-06-22; 16:52:00; 18:23:00; S; T
771; 2017-06-26; 16:14:00; 19:54:00; P; T
772; 2017-06-29; 12:18:00; 14:06:00; S; T
773; 2017-06-20; 09:58:00; 10:36:00; P; N
775; 2017-06-04; 08:41:00; 09:59:00; P; N
776; 2017-05-01; 13:46:00; 16:01:00; P; T
778; 2017-05-10; 08:55:00; 10:16:00; S; N
782; 2017-05-31; 16:40:00; 17:40:00; P; T
782; 2017-05-25; 08:55:00; 10:16:00; P; N
785; 2017-05-09; 12:01:00; 13:08:00; P; N
785; 2017-05-30; 13:38:00; 16:22:00; P; N
786; 2017-05-29; 14:01:00; 16:47:00; P; N
786; 2017-06-11; 08:07:00; 11:57:00; P; N
786; 2017-06-18; 09:58:00; 11:11:00; P; N
788; 2017-05-25; 17:59:00; 20:46:00; P; T
788; 2017-06-02; 17:43:00; 20:53:00; P; N
789; 2017-05-16; 08:07:00; 11:57:00; P; N
789; 2017-05-09; 12:18:00; 14:06:00; P; N
793; 2017-05-17; 14:01:00; 16:47:00; P; N
793; 2017-05-26; 08:42:00; 09:02:00; P; N
794; 2017-06-16; 09:17:00; 11:31:00; S; T
794; 2017-05-31; 16:51:00; 17:29:00; P; N
795; 2017-05-02; 10:51:00; 11:05:00; P; N
797; 2017-05-14; 10:53:00; 13:11:00; S; N
797; 2017-06-18; 16:52:00; 18:23:00; P; N
798; 2017-06-11; 10:51:00; 11:05:00; S; N
